Country,Statements of support,Threshold,Percentage
Austria,"20,714","13,395",154.64%
Belgium,"31,846","14,805",215.10%
Bulgaria,"14,238","11,985",118.80%
Croatia,"14,403","8,460",170.25%
Cyprus,"1,997","4,230",47.21%
Czechia,"25,935","14,805",175.18%
Denmark,"36,010","9,870",364.84%
Estonia,"9,296","4,935",188.37%
Finland,"54,538","9,870",552.56%
France,"145,289","55,695",260.87%
Germany,"233,180","67,680",344.53%
Greece,"19,618","14,805",132.51%
Hungary,"25,595","14,805",172.88%
Ireland,"36,073","9,165",393.60%
Italy,"77,030","53,580",143.77%
Latvia,"7,526","5,640",133.44%
Lithuania,"14,461","7,755",186.47%
Luxembourg,"2,465","4,230",58.27%
Malta,"2,007","4,230",47.45%
Netherlands,"90,413","20,445",442.23%
Poland,"143,826","36,660",392.32%
Portugal,"31,585","14,805",213.34%
Romania,"38,221","23,265",164.29%
Slovakia,"18,628","9,870",188.73%
Slovenia,"6,520","5,640",115.60%
Spain,"121,616","41,595",292.38%
Sweden,"71,158","14,805",480.63%
Total number of signatories,"1,294,188",,
Name of sponsor,Date[1],Amount in EUR[2],
Support provided to the ECI by various parties (economically non-quantifiable volunteer work),01/08/2024,0,
Private sponsor [3],01/08/2025,"24,000",
Name of sponsor,Date[4],Description,
